Date,total_trip,avg_fare_amount
2019-05-28,15286,13.477857516681931
2019-05-29,16255,13.491908951091972
2019-05-30,16891,13.607289680895152
2019-05-31,16817,13.976353095082356
2019-06-01,17491,12.982008461494482
2019-06-02,15149,13.30060466037362
2019-06-03,15114,14.058064708217547
2019-06-04,11579,13.670376543742984
2019-06-05,14993,13.515929433735742
2019-06-06,16705,13.904090990721341
2019-06-07,17961,13.592388508434944
2019-06-08,16971,12.8975204761063
2019-06-09,14174,12.528180471285452
2019-06-10,15092,13.072190564537504
2019-06-11,15089,13.997680429451918
2019-06-12,15584,13.382084830595483
2019-06-13,17280,13.716943287037036
2019-06-14,17600,13.7974875
2019-06-15,17103,13.082982517686956
2019-06-16,13973,12.608125670936806
2019-06-17,14960,13.57341310160428
2019-06-18,15543,13.003653091423791
2019-06-19,16191,13.562195046630844
2019-06-20,16831,13.359574594498246
2019-06-21,17247,13.86664637328231
2019-06-22,16705,12.815788686022149
2019-06-23,14007,13.090064253587492
2019-06-24,14440,13.588513157894738
2019-06-25,14967,13.201515333734214
2019-06-26,15559,13.377244681534803
2019-06-27,15783,13.809231451561807
2019-06-28,17498,13.235472053949023
2019-06-29,16150,12.623053869969041
2019-06-30,13183,12.817339755746035
2019-07-01,13875,13.154665945945945
2019-07-02,13921,12.953517707061275
2019-07-03,14684,13.320416099155542
2019-07-04,9670,12.810477766287487
2019-07-05,13210,12.336990158970478
2019-07-06,13281,12.384391235599729
2019-07-07,12142,12.752334047109207
2019-07-08,13060,12.792830015313935
2019-07-09,13592,12.95966082989994
2019-07-10,14351,13.20088704619887
2019-07-11,15753,12.664053831016314
2019-07-12,15940,13.463034504391468
2019-07-13,16459,13.2417649917978
2019-07-14,12988,12.71054511857099
2019-07-15,13191,13.012475930558715
2019-07-16,14055,13.319745286374955
2019-07-17,15691,12.974664457332228
2019-07-18,14874,13.34307583703106
2019-07-19,16733,13.35120301201219
2019-07-20,14690,12.525012933968686
2019-07-21,12358,12.393812105518693
