trip_distance,passenger_count,avg(fare_amount)
0.3,3.0,6.313609467455621
0.3,4.0,14.894736842105264
0.3,5.0,4.01123595505618
0.3,6.0,4.015625
0.31,1.0,4.7322184065934065
0.31,2.0,4.610859728506787
0.31,3.0,7.947368421052632
0.31,4.0,8.875
0.31,5.0,4.220588235294118
0.31,6.0,4.235714285714286
0.32,1.0,4.470704985709749
0.32,2.0,4.616935483870968
0.32,3.0,4.869565217391305
0.32,4.0,8.505714285714285
0.32,5.0,3.9977011494252874
0.32,6.0,4.263888888888889
0.33,1.0,4.363827231121282
0.33,2.0,5.757735849056604
0.33,3.0,4.443220338983051
0.33,4.0,7.661290322580645
0.33,5.0,4.157407407407407
0.33,6.0,4.046666666666667
0.33,7.0,7.0
0.34,1.0,4.4572659771943774
0.34,2.0,4.516014234875445
0.34,3.0,4.0
0.34,4.0,8.130434782608695
0.34,5.0,3.951401869158879
0.34,6.0,4.288043478260869
0.35,1.0,4.40977513895907
0.35,2.0,4.331818181818182
0.35,3.0,5.769230769230769
0.35,4.0,4.18
0.35,5.0,4.210344827586207
0.35,6.0,3.9696969696969697
0.36,1.0,4.428598197343454
0.36,2.0,4.845794392523365
0.36,3.0,5.869230769230769
0.36,4.0,5.5394736842105265
0.36,5.0,4.230769230769231
0.36,6.0,4.023584905660377
0.37,1.0,4.343289293849659
0.37,2.0,5.363387978142076
0.37,3.0,4.382352941176471
0.37,4.0,7.931818181818182
0.37,5.0,4.382911392405063
0.37,6.0,4.101190476190476
0.38,1.0,4.418105061675883
0.38,2.0,4.60997442455243
0.38,3.0,5.4576271186440675
0.38,4.0,5.791666666666667
0.38,5.0,4.046875
0.38,6.0,4.051546391752577
0.39,1.0,4.372331288343559
0.39,2.0,4.909738903394256
0.39,3.0,4.858208955223881
0.39,4.0,4.9423076923076925
0.39,5.0,4.180232558139535
0.39,6.0,4.292253521126761
0.4,1.0,4.418262878116694
0.4,2.0,4.448776758409786
0.4,3.0,4.5594059405940595
0.4,4.0,6.970588235294118
0.4,5.0,4.196902654867257
0.4,6.0,4.338815789473684
0.41,1.0,4.401684043117159
0.41,2.0,4.496551724137931
0.41,3.0,4.544444444444444
0.41,4.0,6.588235294117647
0.41,5.0,4.116504854368932
0.41,6.0,4.2700729927007295
0.42,1.0,4.39492132111361
0.42,2.0,5.1340659340659345
0.42,3.0,4.963855421686747
0.42,4.0,4.195652173913044
0.42,5.0,4.248633879781421
0.42,6.0,4.923333333333333
0.43,1.0,4.3994581519109826
0.43,2.0,4.739191489361702
0.43,3.0,4.256578947368421
0.43,4.0,4.2560975609756095
0.43,5.0,4.3
0.43,6.0,4.3323170731707314
0.43,9.0,90.0
0.44,1.0,4.455594693504117
