trip_distance,passenger_count,avg(fare_amount)
0.28,3.0,4.859016393442623
0.28,4.0,4.863839285714286
0.28,5.0,4.438709099058718
0.28,6.0,4.307380073800738
0.28,7.0,7.0
0.29,1.0,4.7182554630403954
0.29,2.0,4.911146117166212
0.29,3.0,4.5512563380281685
0.29,4.0,4.868191489361703
0.29,5.0,4.3457643581081085
0.29,6.0,4.122498274672187
0.3,1.0,4.324381955042476
0.3,2.0,4.650301772091545
0.3,3.0,4.661622381195707
0.3,4.0,4.725355325164938
0.3,5.0,4.3637251761691225
0.3,6.0,4.312240356083087
0.3,9.0,52.0
0.31,1.0,4.633045347087901
0.31,2.0,4.774027660174993
0.31,3.0,4.395033078880407
0.31,4.0,4.517012847965739
0.31,5.0,4.257425742574258
0.31,6.0,4.108670520231214
0.31,9.0,93.8
0.32,1.0,4.5698810263946195
0.32,2.0,4.760625484621349
0.32,3.0,4.5362188612099645
0.32,4.0,4.584932362122789
0.32,5.0,4.20045045045045
0.32,6.0,4.178178571428571
0.32,7.0,75.0
0.33,1.0,4.572651425256441
0.33,2.0,4.765341629490491
0.33,3.0,4.543541064795708
0.33,4.0,4.307728194726167
0.33,5.0,4.264756944444445
0.33,6.0,4.213379040156709
0.34,1.0,4.5373859094141595
0.34,2.0,4.641312858589267
0.34,3.0,4.515220700152207
0.34,4.0,4.397335069444444
0.34,5.0,4.210380901287554
0.34,6.0,4.219133099824869
0.35,1.0,4.52331686852967
0.35,2.0,4.598216692586833
0.35,3.0,4.464128249566724
0.35,4.0,4.624500399680255
0.35,5.0,4.2083967529173005
0.35,6.0,4.247370550161812
0.35,9.0,6.0
0.36,1.0,4.506193691804379
0.36,2.0,4.736600685192235
0.36,3.0,4.460229132569558
0.36,4.0,4.736661585365853
0.36,5.0,4.310323724007562
0.36,6.0,4.243525318902203
0.37,1.0,4.542967677374162
0.37,2.0,4.7805181347150265
0.37,3.0,4.503787457522398
0.37,4.0,4.620556715379262
0.37,5.0,4.377762893503014
0.37,6.0,4.2678248280854145
0.38,1.0,4.523503379647015
0.38,2.0,4.67881498470948
0.38,3.0,4.524284103720406
0.38,4.0,4.690550033134526
0.38,5.0,4.408459465063238
0.38,6.0,4.3371699390656735
0.39,1.0,4.564544648399397
0.39,2.0,4.695553799968399
0.39,3.0,4.439392789373814
0.39,4.0,4.599022881880025
0.39,5.0,4.440614722004699
0.39,6.0,4.368993506493506
0.39,9.0,95.0
0.4,1.0,4.548470839363768
0.4,2.0,4.7194282341218265
0.4,3.0,4.704986384678224
0.4,4.0,4.799504068932504
0.4,5.0,4.434894094993581
0.4,6.0,4.388361552487627
0.4,7.0,39.0
0.4,9.0,90.0
0.41,1.0,4.5916598292493624
0.41,2.0,4.613384252980227
0.41,3.0,4.489114722289595
0.41,4.0,4.579506031016657
0.41,5.0,4.386435331230284
0.41,6.0,4.374131944444445
0.41,9.0,95.0
0.42,1.0,4.648817305076035
0.42,2.0,4.698698354162398
0.42,3.0,4.686596385542169
0.42,4.0,4.710884210526316
0.42,5.0,4.468097743085016
0.42,6.0,4.401842948717949
0.43,1.0,4.648286285681399
0.43,2.0,4.709458707883335
0.43,3.0,4.6529072790294626
0.43,4.0,4.546517412935323
0.43,5.0,4.464375392341494
0.43,6.0,4.4694966954753435
0.44,1.0,4.68468404553704
0.44,2.0,4.721458510509051
0.44,3.0,4.63261778998521
0.44,4.0,4.624882849109653
0.44,5.0,4.520675821632464
0.44,6.0,4.489778761061946
0.45,1.0,4.700470029220523
0.45,2.0,4.724097149505527
0.45,3.0,4.685955581531268
0.45,4.0,4.696138657305836
0.45,5.0,4.532545665410264
0.45,6.0,4.537182372245663
0.46,1.0,4.7466283486226954
0.46,2.0,4.768153872379113
0.46,3.0,4.733092217383072
0.46,4.0,4.569020284851101
0.46,5.0,4.613367817698867
0.46,6.0,4.607331042382588
0.46,7.0,77.0
0.47,1.0,4.7760757922406665
0.47,2.0,4.862402650747576
0.47,3.0,4.678276810265811
0.47,4.0,4.731083297367285
0.47,5.0,4.658752705627705
0.47,6.0,4.594691224268689
0.48,1.0,4.785474977869239
0.48,2.0,4.8665787690864555
0.48,3.0,4.814113597246127
0.48,4.0,4.897873194221509
0.48,5.0,4.67715986825437
0.48,6.0,4.650911686722415
0.48,7.0,79.0
0.49,1.0,4.837456750912286
0.49,2.0,4.829454246411483
0.49,3.0,4.782342463451521
0.49,4.0,4.980208083233293
0.49,5.0,4.694255111976631
0.49,6.0,4.677664974619289
0.5,1.0,4.921418980759562
0.5,2.0,5.047345166607795
0.5,3.0,5.082601969057666
0.5,4.0,5.248147982635342
0.5,5.0,4.763326002722798
0.5,6.0,4.7369005145797605
0.5,7.0,28.833333333333332
0.51,1.0,4.896785106785107
0.51,2.0,4.939671885253586
0.51,3.0,4.853582802547771
0.51,4.0,4.86409699601882
0.51,5.0,4.807916181606519
0.51,6.0,4.8202595936794586
0.52,1.0,4.954333068556764
0.52,2.0,4.972561746380385
0.52,3.0,4.870152221186704
0.52,4.0,4.99928596929668
0.52,5.0,4.772393123727664
0.52,6.0,4.836570489408327
0.53,1.0,4.968491538697942
0.53,2.0,5.022898473788985
0.53,3.0,4.934061148396719
0.53,4.0,4.946641663825435
0.53,5.0,4.8553189177442135
0.53,6.0,4.863878504672897
0.54,1.0,5.009232098125594
0.54,2.0,5.026902512998267
0.54,3.0,4.9971012031139415
0.54,4.0,5.009314342497516
0.54,5.0,4.935864709636248
0.54,6.0,4.848150008371003
0.55,1.0,5.033434114339269
0.55,2.0,5.115863301875026
0.55,3.0,4.939054726368159
0.55,4.0,4.976837060702875
0.55,5.0,4.945199229443374
0.55,6.0,4.9894031875211935
0.56,1.0,5.067826970984759
0.56,2.0,5.147848008768725
0.56,3.0,5.0222698131223575
0.56,4.0,5.016730467524318
0.56,5.0,5.002614904958262
0.56,6.0,5.0016318537859
0.57,1.0,5.122905467984282
0.57,2.0,5.188901045856798
0.57,3.0,5.065541281948348
0.57,4.0,5.081925165962583
0.57,5.0,5.023940534800657
0.57,6.0,5.030944881889764
0.57,8.0,85.0
0.58,1.0,5.156733272968625
0.58,2.0,5.221403011720873
0.58,3.0,5.178955538016312
0.58,4.0,5.297471331961188
0.58,5.0,5.097196341811946
0.58,6.0,5.063712348210061
0.59,1.0,5.204364632853381
0.59,2.0,5.215097441438661
0.59,3.0,5.134085068105885
0.59,4.0,5.260461853259281
0.59,5.0,5.109097772744432
0.59,6.0,5.121193573068095
0.6,1.0,5.342770540308483
0.6,2.0,5.428960202478618
0.6,3.0,5.481012209810358
0.6,4.0,5.59603721841332
0.6,5.0,5.223146502988208
0.6,6.0,5.169313850063532
0.6,9.0,95.0
0.61,1.0,5.2952803680526355
0.61,2.0,5.299157879212448
0.61,3.0,5.260181818181818
0.61,4.0,5.281938746838999
0.61,5.0,5.245341891771418
0.61,6.0,5.158424507658643
0.62,1.0,5.3363447751290645
0.62,2.0,5.361057091561939
0.62,3.0,5.298561593312024
0.62,4.0,5.340238417772961
0.62,5.0,5.224828977372391
0.62,6.0,5.2288625523919645
0.63,1.0,5.371368600164565
0.63,2.0,5.405431809300508
0.63,3.0,5.33
0.63,4.0,5.4005481597494125
0.63,5.0,5.269207631488484
0.63,6.0,5.2700141442715704
0.64,1.0,5.415363603922299
0.64,2.0,5.418896128520703
0.64,3.0,5.394406919275124
0.64,4.0,5.387331256490135
0.64,5.0,5.344436065024301
0.64,6.0,5.3286265325802455
0.65,1.0,5.455998904760436
0.65,2.0,5.471963611397185
0.65,3.0,5.402437485393783
0.65,4.0,5.447880565182618
0.65,5.0,5.355993529712243
0.65,6.0,5.379689432458431
0.66,1.0,5.495869809800373
0.66,2.0,5.491308105900768
0.66,3.0,5.4836484321355
0.66,4.0,5.3963636363636365
0.66,5.0,5.429461335095836
0.66,6.0,5.4218350598681555
0.67,1.0,5.533984828436532
0.67,2.0,5.581754409541408
0.67,3.0,5.477847044417232
0.67,4.0,5.507895771878072
0.67,5.0,5.481696341065011
0.67,6.0,5.4591006138243925
0.68,1.0,5.576539171452009
0.68,2.0,5.577658021634303
0.68,3.0,5.61053606450207
0.68,4.0,5.580302734375
0.68,5.0,5.504287332146902
0.68,6.0,5.48160934802815
0.69,1.0,5.615560870939059
0.69,2.0,5.6263668182264235
0.69,3.0,5.600343982960597
0.69,4.0,5.559831742842793
0.69,5.0,5.52963217106838
0.69,6.0,5.536891164500459
